python,django,react,rest_api,mysql,docker,aws,git,javascript,html,css,experience,projects,certifications,education,ats_score,label
0,0,1,0,0,0,0,0,1,0,0,1,3,1,2,97,Needs Improvement
0,1,0,1,1,0,0,1,1,1,0,3,5,0,0,68,Suitable
1,1,1,0,1,0,1,0,1,1,0,1,0,5,0,57,Suitable
0,0,1,1,1,1,0,1,1,0,1,1,2,4,2,51,Suitable
1,1,1,0,1,0,0,0,1,1,1,1,3,4,2,60,Highly Suitable
1,1,1,0,1,0,0,1,1,1,1,3,2,4,1,31,Suitable
0,0,0,1,0,1,1,1,1,0,0,8,4,5,1,34,Highly Suitable
1,0,1,0,1,0,0,1,0,0,1,2,8,4,0,96,Highly Suitable
1,0,0,1,1,0,0,0,0,0,1,1,8,1,0,80,Highly Suitable
0,1,1,0,0,1,1,1,1,1,0,3,3,0,1,22,Highly Suitable
0,0,0,0,0,0,0,0,1,0,0,4,7,1,2,36,Suitable
1,0,1,1,0,0,0,1,1,1,1,7,0,5,2,32,Highly Suitable
1,1,0,0,0,0,1,0,1,0,1,7,3,0,1,90,Highly Suitable
0,0,0,0,0,1,1,1,0,1,0,2,6,0,1,53,Suitable
1,1,1,0,0,1,0,0,0,1,0,0,7,4,2,40,Suitable
0,0,0,0,0,1,0,0,0,0,1,8,5,2,0,60,Suitable
1,1,0,1,1,1,0,0,1,0,0,8,3,4,1,36,Highly Suitable
0,0,1,1,0,1,1,0,1,0,0,4,1,0,2,90,Highly Suitable
1,1,0,1,0,1,1,1,0,0,1,4,0,0,1,36,Highly Suitable
1,0,1,1,0,0,0,0,0,1,0,6,2,0,1,66,Suitable
1,0,0,0,1,1,0,0,0,0,1,0,2,5,1,72,Suitable
1,0,0,1,0,1,0,0,1,1,1,3,3,0,2,44,Suitable
1,1,0,1,1,1,1,0,0,1,0,4,0,0,2,75,Highly Suitable
1,1,0,1,0,1,0,1,0,0,1,6,1,5,1,99,Highly Suitable
0,1,1,1,1,1,1,0,0,1,1,2,4,3,2,20,Highly Suitable
1,0,1,1,1,1,1,0,1,0,0,4,8,5,2,99,Highly Suitable
0,0,1,0,0,0,0,0,0,1,0,7,6,5,2,44,Highly Suitable
1,1,0,0,0,0,1,0,0,1,0,8,3,0,1,37,Highly Suitable
1,1,1,1,0,1,1,1,0,1,1,3,4,3,0,56,Highly Suitable
1,1,1,0,0,0,0,1,0,0,0,6,6,2,2,79,Highly Suitable
0,0,1,1,0,1,1,0,1,1,1,6,8,5,2,89,Highly Suitable
0,1,0,1,1,1,0,1,1,1,0,7,2,4,2,23,Highly Suitable
0,0,1,0,1,0,0,1,1,1,0,7,5,2,1,55,Highly Suitable
1,0,1,0,0,1,0,0,0,0,0,3,0,4,0,50,Needs Improvement
1,0,0,1,1,1,0,0,0,1,0,0,4,4,2,68,Highly Suitable
0,0,0,0,1,0,0,1,1,1,0,8,5,0,1,82,Suitable
1,1,1,0,1,0,1,1,1,1,1,5,3,0,1,77,Highly Suitable
1,1,1,0,1,1,0,1,0,1,1,5,4,4,2,55,Highly Suitable
0,0,0,0,1,1,0,1,1,1,0,1,4,1,1,51,Needs Improvement
1,1,1,1,1,1,1,1,1,1,0,1,3,2,0,88,Highly Suitable
0,0,1,1,1,0,0,1,0,1,0,4,0,5,2,36,Suitable
0,0,1,0,1,0,0,1,1,1,1,5,2,0,1,81,Suitable
0,1,1,0,0,0,0,1,0,0,0,8,6,4,2,99,Highly Suitable
1,1,1,1,1,1,0,0,0,0,1,1,2,1,0,90,Highly Suitable
0,0,1,1,1,1,0,0,1,1,1,1,3,2,2,95,Highly Suitable
1,0,0,0,1,0,0,0,0,1,1,7,1,3,2,58,Highly Suitable
1,1,1,0,0,1,1,1,0,0,0,0,4,4,0,42,Highly Suitable
1,1,0,1,1,0,1,1,1,1,1,1,2,2,1,83,Highly Suitable
1,0,1,0,1,1,1,0,1,0,1,6,0,1,2,66,Highly Suitable
1,1,0,0,1,0,1,1,1,0,0,3,2,2,2,21,Highly Suitable
1,0,0,0,1,0,0,1,1,1,1,7,7,1,1,90,Highly Suitable
1,0,0,0,1,1,1,1,0,1,1,7,2,3,2,81,Highly Suitable
1,1,1,1,0,0,1,0,1,0,1,7,6,3,2,39,Highly Suitable
0,0,1,0,1,0,1,0,0,1,0,1,7,2,1,99,Highly Suitable
0,1,1,1,1,0,0,0,1,0,0,6,1,5,2,32,Highly Suitable
0,1,0,0,1,0,1,1,1,1,0,3,8,3,2,43,Highly Suitable
0,0,1,0,1,0,0,1,1,1,1,0,7,2,2,89,Suitable
0,1,1,1,1,1,1,1,0,1,1,1,3,3,2,65,Highly Suitable
1,1,0,1,1,0,0,1,1,0,1,3,3,4,1,37,Highly Suitable
0,0,1,1,0,1,0,0,1,1,1,2,3,1,2,66,Highly Suitable
1,0,1,1,1,1,0,1,0,0,0,6,8,2,0,70,Highly Suitable
1,0,1,1,1,1,1,0,0,1,0,8,5,4,0,28,Highly Suitable
1,1,1,0,0,0,0,1,1,0,0,3,8,1,1,78,Highly Suitable
1,0,1,0,1,1,1,0,1,0,1,7,3,2,0,67,Highly Suitable
1,0,1,1,0,0,1,0,0,0,0,5,3,1,2,46,Suitable
0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,65,Not Suitable
1,0,0,1,0,0,1,0,0,1,1,5,8,4,0,77,Highly Suitable
0,0,1,1,0,0,1,1,1,0,1,7,1,0,1,97,Highly Suitable
0,0,1,1,1,1,1,1,0,0,0,6,7,1,1,63,Highly Suitable
1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,32,Highly Suitable
0,0,1,0,1,1,1,0,1,1,1,1,8,1,0,81,Highly Suitable
0,1,1,0,1,0,1,0,1,0,0,4,4,2,1,20,Suitable
0,1,0,0,0,0,0,1,1,1,1,2,5,2,2,61,Highly Suitable
0,0,0,0,0,0,1,1,1,1,1,6,4,1,2,34,Suitable
1,0,1,1,1,0,0,1,0,0,0,4,3,1,1,57,Suitable
0,0,1,1,0,0,1,0,1,0,1,0,6,0,1,29,Needs Improvement
1,1,1,1,0,1,0,1,0,1,1,1,6,0,0,75,Highly Suitable
1,0,1,1,1,0,1,0,0,0,0,5,5,5,2,38,Highly Suitable
0,0,1,0,0,0,0,0,1,1,1,5,5,1,1,28,Suitable
1,1,1,0,1,0,1,1,1,0,0,5,4,0,2,31,Highly Suitable
1,1,0,1,0,1,1,0,0,1,0,5,1,4,2,42,Highly Suitable
0,1,1,0,1,1,1,1,1,1,0,5,1,2,0,91,Highly Suitable
1,1,0,1,0,0,1,1,1,0,0,4,8,3,2,62,Highly Suitable
0,1,1,0,1,1,0,0,1,1,0,3,2,1,0,57,Suitable
0,1,0,1,0,0,0,0,1,0,1,5,3,3,2,56,Highly Suitable
0,0,1,1,0,1,1,1,1,1,1,2,3,4,0,52,Suitable
1,1,0,0,1,0,0,1,1,0,1,1,3,3,1,23,Suitable
0,1,1,0,1,0,1,0,0,1,0,5,2,1,0,56,Highly Suitable
0,1,1,0,0,0,1,0,0,1,0,4,3,2,0,26,Needs Improvement
1,1,0,0,1,0,0,0,1,1,0,5,3,4,1,43,Suitable
1,0,0,1,1,0,1,1,1,0,1,1,5,1,2,100,Highly Suitable
1,0,0,1,1,0,1,1,0,0,0,7,0,2,0,25,Suitable
0,1,1,1,1,1,0,0,1,1,0,5,4,0,1,75,Highly Suitable
1,1,1,0,1,1,1,1,0,1,0,6,2,4,1,61,Highly Suitable
0,1,1,1,1,1,0,1,1,1,0,5,6,2,2,27,Highly Suitable
1,1,0,0,0,1,0,0,0,0,1,5,6,4,0,97,Highly Suitable
1,1,1,1,0,0,1,1,1,1,0,1,0,5,0,83,Highly Suitable
1,0,1,1,1,0,1,1,0,0,0,1,7,1,2,76,Highly Suitable
1,1,0,1,1,0,0,1,0,0,0,2,3,3,0,66,Highly Suitable
